feature,prominence
ust,0.004399393984216524
wp vbp,0.004393645918359963
rin,0.0043898354688349725
g a,0.004377849283103076
nde,0.004369057883695308
dt vbn,0.004364090830488674
 li,0.004363239592074483
r a,0.004360644801616949
rb cc,0.004348818681733218
thi,0.004316016526714177
ant,0.004313045178594347
ak,0.00428599345390017
ity,0.004281613567014727
e l,0.004280287578560094
 lo,0.00427688279716592
wdt md,0.004276749865191747
e. ,0.004269896069863038
 fa,0.00426943649772089
hou,0.004267081049731033
nnp vbn,0.004261150312822272
 ba,0.004255568926357749
nnp wrb,0.004254451238588565
pi,0.004253985853901621
ge ,0.004252506925483212
enc,0.00424783190477234
lea,0.00424349582636764
 1,0.004237014859508575
cc vbn,0.004236295795530465
ki,0.004234330100403983
inc,0.004228276850310142
cd vbd,0.004224223913099804
has,0.00422418350614113
gn,0.0042175853385436005
ies,0.004217056831884165
vbn rp,0.004216955772998934
cc,0.004213658166483812
wrb dt,0.004206103648670671
whi,0.0042024998163945415
rk,0.004202388798371565
 ex,0.004200250081638832
ini,0.004199488384086139
 do,0.00419755729277442
in jjr,0.004195895696101487
ht,0.004192298157250828
ous,0.004187505680350783
t.,0.004185387289032807
lt,0.004181845299862152
not,0.00418130970642032
ght,0.004177140817060599
epo,0.004169291705073897
in vbn,0.004162971565273699
gen,0.004159973849061424
one,0.00414519329187865
ffi,0.00413040732661974
t c,0.004127906094513281
ine,0.004126315454287501
ite,0.004121160952127529
nf,0.004117626949445796
y e,0.004111701897279336
ord,0.004109668710164264
sed,0.004107102382910289
 go,0.00410660087427316
rt ,0.00410615959057728
cia,0.00410444419836556
u.,0.004101993873569143
ey,0.004099869904578756
oi,0.004099533682096263
ye,0.004097556596410801
 im,0.004095265491291556
ju,0.004092221243406193
eas,0.004086669201205141
ost,0.004079893465217765
ds,0.004078786331415319
ar ,0.004073211411271193
ign,0.004070055592992418
.s,0.004067973122530107
", e",0.004067669743173397
u.s,0.004060897872118022
ome,0.004060842855168214
lu,0.004059423812279717
sen,0.0040568736032056555
lle,0.004054696888412132
.s.,0.004053741500978572
med,0.00404403846794065
s p,0.004042884887207291
sc,0.004038608294914711
nda,0.004022146199193678
 u.,0.004018426952724996
ss ,0.004017906124618241
ont,0.004014500363179654
au,0.00400645198476695
led,0.004002388582340326
in jjs,0.004001801138387476
ot ,0.004001731103335574
y.,0.0039945880838508085
ud,0.003994032228026393
tar,0.003991948219378448
lit,0.00399006740415065
"y, ",0.00398922278754478
"y,",0.00398922278754478
lat,0.003986286254642602
g b,0.003985658824898146
ic ,0.003985060613793326
t p,0.003981117679921373
eat,0.003976874684086363
in wp,0.0039686602235200685
vbp nnp,0.0039643946326518124
d.,0.00396357172637845
ira,0.003961790180309469
man,0.003957761181422433
ast,0.0039296840738779195
ric,0.003908512623990266
edi,0.003907863793893948
ssi,0.003900600803532223
5,0.0038970678243457064
s e,0.0038927714430104007
prp to,0.0038899100669751827
ead,0.00388893251708025
d c,0.003883395631782871
 bu,0.0038830320342647232
acc,0.0038807504737965034
fu,0.003867745456625958
mor,0.003866719371893251
unt,0.0038607612969344834
ple,0.0038606793931157623
dt jjr,0.0038584754575869463
tri,0.0038502258250698446
ame,0.003848750057302578
 ir,0.00384872058128028
hav,0.003845878620520496
br,0.0038434938829398626
n s,0.0038345320019366616
